ukbb20003;n
proziere 5mg tablet;1
buccastem 3mg tablet;128
aspirin;74083
paracetamol product;50
aspav dispersible tablet;13
distalgesic tablet;17
doloxene compound capsule;1
equagesic tablet;0
fortagesic tablet;0
lobak tablet;0
paracetamol+chlormezanone 450mg/100mg tablet;0
paracetamol+pentazocine 500mg/15mg tablet;0
cosalgesic tablet;1
aspirin+methocarbamol 325mg/400mg tablet;1
paracodol soluble tablet;5
robaxisal forte tablet;0
disprol paediatric 120mg/5ml s/f suspension;0
panadol 120mg/5ml baby+infant suspension;2
pameton tablet;0
alvedon 125mg suppository;0
paracetamol+methionine 500mg/250mg tablet;0
medinol under six 120mg/5ml s/f suspension;0
calpol 120mg/5ml paediatric suspension;0
calpol 120mg/5ml paediatric s/f suspension;0
progesic 200mg tablet;1
synflex 275mg tablet;4
acupan 30mg tablet;40
prednisone;369
decortisyl 5mg tablet;0
climaval 1mg tablet;652
oestriol product;46
conjugated oestrogens;109
premarin 625micrograms tablet;2168
piperazine oestrone sulphate;0
harmogen 1.5mg tablet;49
triamcinolone;189
ledercort 2mg tablet;0
ethinyloestradiol;9
oestradiol product;156
hormonin tablet;236
progynova 1mg tablet;218
estrapak 50micrograms/1mg patch+tablet;4
vagifem 25mcg pessary;1866
tibolone;945
allyloestrenol;0
gestanin 5mg tablet;0
dydrogesterone;29
duphaston 10mg tablet;34
cyclo-progynova 1mg tablet;72
syntex menophase tablet;1
trisequens tablet;90
nuvelle tablet;210
estracombi tts patch;96
androcur 50mg tablet;2
mesterolone;4
pro-viron 25mg tablet;0
testosterone product;394
primoteston depot 250mg/1ml oily injection;4
restandol 40mg capsule;28
sustanon 100 oily injection;110
finasteride;2720
proluton depot 250mg/1ml oily injection;0
norethisterone;301
primolut-n 5mg tablet;4
utovlan 5mg tablet;23
progesterone product;262
cyclogest 200mg suppository;5
proscar 5mg tablet;62
deca-durabolin 25mg/1ml oily injection;0
stanozolol;0
stromba 5mg tablet;0
humegon 75iu injection (pdr for recon)+solvent;1
somatropin;16
humatrope(rbe) 4iu(1.3mg) injection (pdr for recon)+diluent;4
saizen(rmc) 4iu(1.33mg) injection (pdr for recon)+diluent;0
norditropin(epr) 12iu(4mg) injection (pdr for recon)+diluent;16
clomid 50mg tablet;6
serophene 50mg tablet;1
cyclofenil;0
rehibin 100mg tablet;0
pergonal 75iu injection (pdr for recon)+solvent;0
miacalcic 100iu/1ml injection;0
disodium etidronate;8
didronel 200mg tablet;164
disodium pamidronate;35
sodium clodronate;47
loron 400mg capsule;7
bonefos 400mg capsule;30
sermorelin;1
geref 50 injection (pdr for recon)+solvent;0
desmopressin;129
desmospray 10micrograms nasal spray;18
ddavp 100micrograms tablet;6
terlipressin;0
glypressin 1mg injection;0
vasopressin product;1
pitressin 20iu/1ml injection;0
calcitonin product;12
calcitare 160iu injection (pdr for recon)+diluent;0
calsynar 100iu/1ml injection;0
bromocriptine;28
parlodel 1mg tablet;1
gonadorelin;0
synarel 200micrograms nasal spray;1
trilostane;0
modrenal 60mg capsule;1
acarbose;50
glucobay 50mg tablet;9
dinoprostone;0
prostin e2 500micrograms tablet;2
fertiral 1mg/2ml injection;0
hrf 100micrograms injection (pdr for recon)+diluent;0
relefact lh-rh 100micrograms/1ml injection;0
metyrapone;0
metopirone 250mg capsule;1
protirelin;2
danazol;19
danol 100mg capsule;5
gestrinone;0
dimetriose 2.5mg capsule;0
nafarelin;1
mifegyne 200mg tablet;0
yutopar 10mg tablet;0
dienoestrol;1
ortho-gynest 500micrograms pessary;399
ovestin 0.1% vaginal cream;416
tampovagan pessary;2
canesten 2% vaginal cream;12
canesten duopack;1
canesten 1 pessary;7
alprostadil;62
prostin vr 500mcg/1ml infusion concentrate;0
mifepristone;0
ecostatin 150mg pessary;1
ecostatin twinpack;0
gyno-pevaryl 150mg pessary;0
gyno-pevaryl combipack;0
gyno-pevaryl 1 150mg pessary;0
dalacin 2% cream;12
marvelon tablet;121
mercilon tablet;156
ethinyloestradiol+desogestrel 20mcg/150mcg tablet;0
conova 30 tablet;0
ethinyloestradiol+ethynodiol diacetate 30mcg/2mg tablet;0
eugynon 30 tablet;4
logynon tablet;201
microgynon 30 tablet;746
ovran 30 tablet;1
ovranette tablet;93
schering pc4 tablet;1
trinordiol tablet;23
gyno-pevaryl 1 combipack;1
pevaryl cream;0
ecostatin-1 150mg pessary;0
gyno-daktarin 2% vaginal cream;1
gyno-daktarin 100mg pessary;1
gyno-daktarin combipack pessary+cream;0
gyno-daktarin 1 ovule;0
femeron soft pessary;2
femeron cream;1
nyspes pessary;1
nystan gel;2
nystan vaginal cream;0
nystan pessary;0
sultrin cream;0
sultrin vaginal tablet;0
ethinyloestradiol+levonorgestrel 30mcg/150mcg tablet;2
binovum tablet;18
brevinor tablet;43
neocon 1/35 tablet;1
norimin tablet;18
ovysmen tablet;18
synphase tablet;3
trinovum tablet;46
medroxyprogesterone;67
neogest tablet;1
micronor tablet;731
noriday tablet;382
noristerat 200mg/1ml oily injection;2
loestrin 20 tablet;216
ethinyloestradiol+norethisterone acetate 20mcg/1mg tablet;1
minulet tablet;0
femodene tablet;76
tri-minulet tablet;1
triadene tablet;6
cilest tablet;182
ethinyloestradiol+norgestimate 35mcg/250mcg tablet;0
norinyl-1 tablet;3
ortho-novin 1/50 tablet;0
mestranol+norethisterone 50micrograms/1mg tablet;0
ethynodiol diacetate;0
femulen tablet;389
levonorgestrel;27
microval tablet;6
norgeston tablet;154
myotonine 10mg tablet;0
cystrin 3mg tablet;9
effercitrate soluble tablet;10
potassium bicarbonate+citric acid 1.39g/1.14g soluble tablet;10
potassium citrate 3g/sachet granules;20
cystopurin 3g/sachet granules;5
cymalon sachet;1
cystemme 4g/sachet granules;0
cystoleve 4g/sachet powder;0
sodium citrate 4g/sachet powder;1
rowatinex capsule;0
carbachol;0
ubretid 5mg tablet;4
urispas 100mg tablet;4
urispas 200mg tablet;6
ditropan 2.5mg tablet;87
prowess capsule;0
estracyt 140mg capsule;0
lomustine;1
ccnu 10mg capsule;0
ccnu 40mg capsule;0
melphalan;2
alkeran 2mg tablet;0
mitobronitol;0
myelobromol 125mg tablet;0
busulphan;1
myleran 500micrograms tablet;0
chlorambucil;5
leukeran 2mg tablet;0
cyclophosphamide;54
treosulfan;0
zavedos 5mg capsule;0
fluorouracil;16
fluoro-uracil 250mg capsule;2
efudix cream;86
etoposide;2
vepesid 50mg capsule;0
fluorouracil 5% cream;9
mercaptopurine;57
puri-nethol 50mg tablet;3
methotrexate;3191
maxtrex 2.5mg tablet;1
thioguanine;0
lanvis 40mg tablet;0
azathioprine;1178
azamune 50mg tablet;0
immunoprin 50mg tablet;0
berkaprine 50mg tablet;0
cyclosporin product;6
hydroxyurea;26
hydrea 500mg capsule;13
procarbazine;1
natulan 50mg capsule;0
razoxane;0
razoxin 125mg tablet;0
sandimmun 25mg capsule;0
honvan 100mg tablet;0
polyestradiol phosphate;0
estradurin 40mg injection (pdr for recon)+diluent;0
stilboestrol;2
apstil 1mg tablet;0
depostat 200mg/2ml oily injection;0
levamisole;1
interferons;14
introna-2b 3million iu injection (pdr for recon)+diluent;1
introna-2b 5million iu injection (pdr for recon)+diluent;0
introna-2b 10million iu injection (pdr for recon)+diluent;0
introna-2b 30million iu injection (pdr for recon)+diluent;0
roferon-a-2a 3million iu inj (pdr for recon)+diluent+kit;0
roferon-a-2a 9million iu inj (pdr for recon)+diluent+kit;0
roferon-a-2a 18million iu inj (pdr for recon)+diluent+kit;0
wellferon 3million units/1ml injection;0
wellferon 10million units/1ml injection;1
roferon-a-2a 4.5miu injection (pdr for recon)+diluent+kit;0
introna-2b 1million iu injection (pdr for recon)+diluent;0
immukin 100micrograms/0.5ml injection;0
farlutal 100mg tablet;0
tamoxifen;1838
nolvadex 10mg tablet;8
tamofen 10mg tablet;6
emblon 10mg tablet;1
oestrifen 10mg tablet;0
goserelin;52
zoladex 3.6mg implant;315
octreotide;14
sandostatin 50micrograms/1ml injection;12
megace 40mg tablet;14
aminoglutethimide;0
orimeten 250mg tablet;0
buserelin;8
suprefact 100micrograms nasal spray;0
cyprostat 50mg tablet;4
flutamide;8
drogenil 250mg tablet;0
prostap sr 3.75mg injection (pdr for recon)+diluent+kit;93
feospan 150mg spansule;6
ferrograd 325mg filmtab;84
slow-fe 160mg m/r tablet;0
iron+folic acid;381
fefol spansule;1
ferfolic sv tablet;1
ferrocap-f 350 m/r capsule;0
ferrocontin folic continus tablet;0
ferrograd folic filmtab;19
folex-350 tablet;0
galfer fa capsule;2
lexpec with iron syrup;0
meterfolic tablet;0
pregaday tablet;16
slow-fe folic m/r tablet;2
fersaday 322mg tablet;11
fergon 300mg tablet;0
plesmet syrup;0
ferrous sulphate;3013
ferrous gluc+folic acid+ascorbic acid 250mg/5mg/10mg tablet;32
polysaccharide iron complex;0
folic acid product;4824
lexpec 2.5mg/5ml sugar free syrup;0
preconceive 400micrograms tablet;0
folinic acid product;11
calcium leucovorin 15mg tablet;14
refolinon 15mg tablet;0
sodium ironedetate;0
sytron 190mg/5ml elixir;7
fefol-vit spansule;1
fefol z spansule;0
ferrocap 330mg m/r capsule;1
folicin tablet;59
forceval capsule;173
octovit tablet;1
jectofer injection;0
hydroxocobalamin product;124
cobalin-h 1mg/1ml injection;31
cyanocobalamin product;170
cytacon 50micrograms tablet;9
cytamen 1mg/1ml injection;35
oxymetholone;0
anapolon-50 50mg tablet;1
kay-cee-l 7.5% syrup;0
kloref 500mg effervescent tablet;1
sando-k effervescent tablet;42
slow-k 600mg m/r tablet;68
erythropoietin product;15
vitamin b12 preparation;1824
calcium resonium powder;15
resonium a powder;1
slow sodium 600mg m/r tablet;5
epoetin alfa;7
eprex 4000iu/1ml injection;9
epoetin beta;13
recormon 1000iu injection+diluent;0
ketovite tablet;17
calcium salts;3250
calcium-sandoz syrup;13
ossopan 830mg tablet;0
sandocal 400 effervescent tablet;81
solvazinc 200mg effervescent tablet;16
zincomed 220mg capsule;8
z span 61.8mg spansule;0
vitamin a product;76
calcichew 1.25g chewable tablet;1356
calcidrink 2.52g/sachet granules;10
calcichew forte 2.5g chewable tablet;543
sodium cellulose phosphate;0
calcisorb 5g/sachet powder;2
phosphate-sandoz tablet;19
nicotinamide product;7
benadon 20mg tablet;5
comploment continus 100mg m/r tablet;0
ascorbic acid product;104
redoxon 25mg tablet;27
vitamin d product;2874
alfacalcidol;503
one-alpha 250nanograms capsule;55
alfa-d 250nanograms capsule;2
calcitriol product;30
rocaltrol 250nanograms capsule;8
vitamins b+c;26
potassium aminobenzoate;3
potaba 500mg tablet;3
vitamin b compound tablet;3951
becosym tablet;2
becosym forte tablet;0
vigranon b syrup;2
calciferol 7.5mg(300,000units)/1ml injection;1
calcichew d3 tablet;5727
calcium carbonate+cholecalciferol 1.25g/5micrograms tablet;228
dihydrotachysterol;0
at 10 250micrograms/ml oral solution;0
unicap m tablet;0
gentian alkaline mixture;1
trientine dihydrochloride;2
benorylate;0
benoral 750mg tablet;0
salsalate;0
disalcid 500mg capsule;0
azapropazone;2
rheumox 300mg capsule;1
vitamin e product;1932
vitamin k product;110
synkavit 10mg tablet;0
phytomenadione;2
konakion 10mg tablet;2
vitamins capsule bpc;30
voltarol 25mg e/c tablet;564
voltarol 100mg suppository;35
rhumalgan 25mg e/c tablet;95
etodolac;400
lodine 200mg tablet;222
fenbufen;2
lederfen 300mg tablet;0
fenbuzip 300mg tablet;0
fenoprofen;3
fenopron 300mg tablet;3
flurbiprofen;38
froben 50mg tablet;19
volraman 25mg e/c tablet;1
valenac 25mg e/c tablet;0
diclozip-25 e/c tablet;0
arthrotec tablet;736
isclofen 50mg e/c tablet;0
flamrase 25mg e/c tablet;7
diflunisal;1
dolobid 250mg tablet;0
ibuprofen;67975
arthrofen 200 tablet;2
indomethacin;310
artracin 25mg capsule;0
imbrilon 25mg capsule;1
indocid 25mg capsule;10
flexin-25 continus m/r tablet;0
apsifen 200mg tablet;0
brufen 200mg tablet;88
ebufac 200mg tablet;0
cuprofen 200mg tablet;50
isisfen 400mg tablet;0
fenbid 300mg spansule;3
lidifen 200mg tablet;0
codafen continus m/r tablet;0
junifen 100mg/5ml s/f suspension;0
motrin 200mg tablet;0
ibumed 400mg tablet;0
rimafen 200mg tablet;0
rimacid 25mg capsule;0
indomod 25mg m/r capsule;0
indomax 25 capsule;0
dysman-250 capsule;0
contraflam 250mg capsule;0
naproxen;4342
laraflex 250mg tablet;0
naprosyn 250mg tablet;365
rheuflex-250 tablet;0
valrox 250mg tablet;0
pranoxen continus 375mg m/r tablet;1
arthrosin 250 tablet;0
ketoprofen;156
alrheumat 50mg capsule;0
orudis 50mg capsule;2
oruvail 100 m/r capsule;20
ketovail 100mg m/r capsule;2
ketonal 50mg capsule;0
mefenamic acid;566
ponstan 250mg capsule;68
arthroxen 250mg tablet;0
rimoxyn 250mg tablet;0
nycopren 250mg e/c tablet;0
larapam 10mg capsule;3
pirozip 10 capsule;0
flamatrol 10mg capsule;0
sulindac;18
clinoril 100mg tablet;1
tiaprofenic acid;8
surgam 200mg tablet;14
prosaid 250mg tablet;1
napratec tablet combination pack;22
phenylbutazone product;5
butacote 100mg e/c tablet;0
butazone 100mg tablet;0
piroxicam;191
feldene 10mg capsule;21
tylex capsule;240
solpadol effervescent tablet;86
remedeine tablet;52
remedeine forte tablet;30
solpadol caplet;396
morphine;333
sevredol 10mg tablet;26
sevredol 20mg tablet;12
mst continus 200mg m/r tablet;3
oramorph sr 10mg m/r tablet;15
oramorph sr 30mg m/r tablet;2
oramorph sr 60mg m/r tablet;1
mst continus 60mg/sachet granules for suspension;0
oramorph sr 100mg m/r tablet;6
mst continus 100mg/sachet granules for suspension;0
mst continus 5mg m/r tablet;10
mst continus 15mg m/r tablet;8
buprenorphine;363
temgesic 200mcg sublingual tablet;38
temgesic 300micrograms/1ml injection;0
temgesic 400mcg sublingual tablet;14
sevredol 10mg suppository;0
sevredol 20mg suppository;0
cyclimorph 10 injection;0
sevredol 30mg suppository;0
cyclimorph 15 injection;0
mst continus 10mg m/r tablet;45
oramorph 10mg/5ml oral unit dose vial;25
mst continus 30mg m/r tablet;51
mst continus 60mg m/r tablet;14
oramorph 30mg/5ml oral unit dose vial;0
mst continus 100mg m/r tablet;22
oramorph 100mg/5ml oral unit dose vial;2
mst continus 20mg/sachet granules for suspension;3
mst continus 30mg/sachet granules for suspension;1
palfium 5mg tablet;0
palfium 10mg tablet;0
palfium 10mg suppository;0
diconal tablet;8
dipipanone+cyclizine 10mg/30mg tablet;1
physeptone 5mg tablet;3
physeptone 10mg/1ml injection;0
nubain 10mg/1ml injection;0
nubain 20mg/2ml injection;0
fortral 50mg capsule;0
fortral 25mg tablet;0
fortral 30mg/1ml injection;0
fortral 60mg/2ml injection;0
fortral 50mg suppository;0
doloxene 65mg capsule;0
diagesil 5mg injection (pdr for recon);0
diagesil 10mg injection (pdr for recon);0
diagesil 30mg injection (pdr for recon);0
diagesil 100mg injection (pdr for recon);0
diagesil 500mg injection (pdr for recon);0
dhc continus 60mg m/r tablet;27
dhc continus 90mg m/r tablet;2
dhc continus 120mg m/r tablet;10
pamergan p100 injection;0
narphen 5mg tablet;0
ergotamine tartrate+caffeine 1mg/100mg tablet;2
midrid capsule;15
isometheptene mucate+paracetamol 65mg/325mg capsule;1
dixarit 25mcg tablet;128
clonidine hydrochloride 25micrograms tablet;102
deseril 1mg tablet;3
sanomigran 500micrograms tablet;91
migraleve duopack tablet;67
migraleve yellow tablet;18
migravess effervescent tablet;2
paramax tablet;176
aspirin+metoclopramide 325mg/5mg effervescent tablet;3
paracetamol+metoclopramide 500mg/5mg tablet;10
cafergot tablet;22
lingraine 2mg sublingual tablet;0
medihaler-ergotamine 360micrograms inhaler;0
migril tablet;122
carbamazepine product;42
tegretol 100mg tablet;1173
phenytoin product;17
epanutin 25mg capsule;358
pentran 50mg tablet;0
primidone;83
mysoline 250mg tablet;67
clonazepam;418
rivotril 500mcg tablet;27
ethosuximide;12
emeside 250mg capsule;0
zarontin 250mg capsule;2
methylphenobarbitone;0
prominal 30mg tablet;0
methylphenobarbitone 30mg tablet;0
phenobarbitone product;5
sodium valproate;544
epilim 100mg crushable tablet;888
valproic acid;60
convulex 150mg e/c capsule;2
gabapentin;2902
neurontin 100mg capsule;52
orlept 200mg e/c tablet;4
vigabatrin product;0
sabril 500mg tablet;3
lamotrigine;711
lamictal 25mg tablet;96
piracetam;2
nootropil 800mg tablet;2
levodopa;21
brocadopa 125mg capsule;1
larodopa 500mg tablet;2
madopar 62.5 capsule;164
eldepryl 5mg tablet;0
revanil 200micrograms tablet;0
celance 50micrograms tablet;0
artane 2mg tablet;0
broflex 5mg/5ml syrup;0
sinemet-ls tablet;100
half-sinemet cr m/r tablet;50
symmetrel 100mg capsule;17
biorphen 25mg/5ml elixir;0
disipal 50mg tablet;6
cogentin 2mg tablet;0
nimotop 30mg tablet;1
disulfiram;56
antabuse 200mg tablet;17
nicotine product;197
biperiden;0
akineton 2mg tablet;1
tremonil 5mg tablet;1
arpicolin 2.5mg/5ml syrup;0
kemadrin 5mg tablet;7
tetrabenazine;8
nitoman 25mg tablet;2
nimodipine;3
britlofex 200micrograms tablet;0
benzylpenicillin;0
crystapen 600mg injection (pdr for recon);0
phenoxymethylpenicillin;126
floxapen 250mg capsule;4
floxapen 500mg capsule;1
floxapen 125mg/5ml syrup;0
floxapen forte 250mg/5ml syrup;1
floxapen 250mg injection (pdr for recon);0
floxapen 500mg injection (pdr for recon);0
floxapen 1g injection (pdr for recon);0
ladropen 250mg capsule;0
ladropen 500mg capsule;0
stafoxil 250mg capsule;0
stafoxil 500mg capsule;0
fluclomix 250 capsule;0
fluclomix 500 capsule;2
galfloxin 250mg capsule;0
galfloxin 500mg capsule;0
temocillin;2
temopen 1g injection (pdr for recon);0
amoxycillin;55
apsin 250mg tablet;0
apsin 125mg/5ml elixir;0
apsin 250mg/5ml elixir;0
rimapen 250mg tablet;0
distaquaine v-k 250mg tablet;0
stabillin v-k 250mg tablet;0
stabillin v-k 125mg/5ml elixir;0
stabillin v-k 250mg/5ml elixir;0
procaine penicillin;1
cloxacillin;0
orbenin 250mg capsule;0
orbenin 500mg capsule;0
orbenin 250mg injection (pdr for recon);0
orbenin 500mg injection (pdr for recon);0
flucloxacillin;201
amoxil 250mg capsule;10
amoxil 500mg capsule;12
amoxil 500mg s/f dispersible tablet;1
amoxil sf 125mg/5ml s/f suspension;0
amix 125 s/f suspension;0
amoxil sf 250mg/5ml s/f suspension;0
amix 250 s/f suspension;0
amoxil 125mg/1.25ml paediatric suspension;0
almodan 125mg/5ml syrup;0
almodan 250mg/5ml syrup;0
amoxymed 250mg capsule;0
amoxymed 125mg/5ml syrup;0
augmentin 625mg tablet;21
ampicillin;10
amfipen 250mg capsule;0
amfipen 500mg capsule;0
amfipen 125mg/5ml syrup;0
amfipen 250mg/5ml syrup;0
rimacillin 250mg capsule;0
rimacillin 500mg capsule;0
rimacillin 125mg/5ml syrup;0
rimacillin 250mg/5ml syrup;0
amrit 125mg/5ml suspension;0
amoxil 750mg/sachet s/f powder;0
amrit 250mg/5ml suspension;0
amoxil 3g/sachet s/f powder;2
amrit 250mg capsule;0
amoxil 250mg injection (pdr for recon);0
amrit 500mg capsule;0
amoxil 500mg injection (pdr for recon);0
amopen 250mg capsule;0
amoxil 1g injection (pdr for recon);1
amopen 500mg capsule;0
augmentin 375mg tablet;25
amopen 125mg/5ml suspension;1
augmentin 375mg s/f dispersible tablet;2
amopen 250mg/5ml suspension;0
flemoxin solutab 375mg s/f dispersible tablet;0
augmentin 125mg/31mg/5ml s/f suspension;4
flemoxin solutab 750mg s/f dispersible tablet;1
augmentin 600mg injection (pdr for recon);0
amoxil fiztab 125mg s/f chewable tablet;0
augmentin 1.2g injection (pdr for recon);2
amoxil fiztab 250mg s/f chewable tablet;0
almodan 250mg capsule;0
amoxil fiztab 500mg s/f chewable tablet;0
almodan 500mg capsule;0
augmentin 250mg/62mg/5ml s/f suspension;1
penbritin 250mg capsule;0
penbritin 500mg capsule;1
penbritin 125mg/5ml syrup;0
penbritin 250mg/5ml syrup;0
penbritin 125mg/1.25ml paediatric suspension;0
penbritin 250mg injection (pdr for recon);0
piperacillin;0
pipril 1g injection (pdr for recon);0
pipril 2g injection (pdr for recon);0
pipril 4g infusion (pdr for recon);0
pipril 4g infusion set;0
tazocin 2g/250mg injection (pdr for recon);0
tazocin 4g/500mg infusion (pdr for recon)+kit;0
tazocin 4g/500mg injection (pdr for recon);0
pivampicillin;1
pondocillin 500mg tablet;0
miraxid 225mg tablet;0
miraxid-450 tablet;0
amoram 250mg capsule;0
amoram 500mg capsule;0
amoram 125mg/5ml s/f suspension;0
amoram 250mg/5ml s/f suspension;0
penbritin 500mg injection (pdr for recon);0
vidopen 250mg capsule;0
vidopen 500mg capsule;0
ampiclox injection (pdr for recon);0
ampiclox neonatal s/f suspension;0
ampiclox neonatal injection (pdr for recon);0
flu-amp 250/250mg capsule;0
magnapen capsule;2
magnapen syrup;0
magnapen 500mg injection (pdr for recon);0
magnapen 1g injection (pdr for recon);0
ampiclox 500mg capsule;0
ampiclox 250mg/5ml syrup;0
ambaxin 400mg tablet;1
amix 250 capsule;0
amix 500 capsule;0
galenamox 250mg capsule;0
galenamox 500mg capsule;0
galenamox 125mg/5ml s/f suspension;0
galenamox 250mg/5ml s/f suspension;0
rimoxallin 125mg/5ml syrup;0
rimoxallin 250mg capsule;0
rimoxallin 500mg capsule;1
rimoxallin 250mg/5ml syrup;0
carbenicillin;0
pyopen 1g injection (pdr for recon);0
pyopen 5g injection (pdr for recon);0
uticillin 500mg tablet;0
ticarcillin;1
ticar 1g injection (pdr for recon);0
ticar 5g injection (pdr for recon);0
ticar 5g infusion set;0
timentin 1.6g injection (pdr for recon);0
timentin 3.2g injection (pdr for recon);0
cefaclor;5
distaclor 250mg capsule;0
distaclor 125mg/5ml suspension;0
distaclor 250mg/5ml suspension;0
azlocillin;0
securopen 500mg injection (pdr for recon);0
securopen 1g injection (pdr for recon);0
securopen 2g injection (pdr for recon);0
securopen 5g infusion (pdr for recon);0
distaclor 500mg capsule;0
distaclor mr 375mg m/r tablet;2
cefadroxil;10
baxan 500mg capsule;0
baxan 125mg/5ml suspension;0
baxan 250mg/5ml suspension;0
baxan 500mg/5ml suspension;0
fortum 2g infusion (pdr for recon);0
fortum 2g infusion (pdr for recon)+saline kit;1
ceftizoxime;0
cefizox 500mg injection (pdr for recon);0
cefizox 1g injection (pdr for recon);0
cefizox 2g injection (pdr for recon);0
cefuroxime;9
zinacef 250mg injection (pdr for recon);0
zinacef 750mg injection (pdr for recon);0
zinacef 1.5g injection (pdr for recon);0
zinnat 125mg tablet;0
zinnat 250mg tablet;0
zinacef 1.5g infusion (pdr for recon);0
zinnat 125mg/5ml suspension;0
cefotaxime;0
claforan 500mg injection (pdr for recon);1
claforan 1g injection (pdr for recon);1
claforan 2g injection (pdr for recon);0
cefoxitin;0
mefoxin 1g injection (pdr for recon);0
mefoxin 2g injection (pdr for recon);0
monaspor 500mg injection (pdr for recon);0
monaspor 1g injection (pdr for recon);0
ceftazidime;0
fortum 250mg injection (pdr for recon);0
fortum 500mg injection (pdr for recon);0
fortum 1g injection (pdr for recon);0
fortum 2g injection (pdr for recon);0
zinnat 125mg/sachet granules;0
zinacef 750mg infusion (pdr for recon)+saline kit;0
zinacef+metronidazole 750mg/500mg infusion kit;0
cephamandole;0
kefadol 1g injection (pdr for recon);0
cephazolin;0
kefzol 500mg injection (pdr for recon);0
kefzol 1g injection (pdr for recon);0
cephradine;11
velosef 250mg capsule;3
velosef 500mg capsule;1
velosef 250mg/5ml syrup;0
velosef 500mg injection (pdr for recon);0
velosef 1g injection (pdr for recon);0
aztreonam;0
azactam 500mg injection (pdr for recon);0
azactam 1g injection (pdr for recon);0
azactam 2g injection (pdr for recon);0
cephalexin;80
ceporex 250mg capsule;1
ceporex 500mg capsule;0
ceporex 250mg tablet;0
ceporex 500mg tablet;0
ceporex 125mg/1.25ml paediatric drops;0
ceporex 125mg/5ml suspension;0
ceporex 250mg/5ml suspension;0
ceporex 125mg/5ml syrup;0
ceporex 250mg/5ml syrup;0
ceporex 500mg/5ml syrup;0
keflex 250mg capsule;4
keflex 500mg capsule;9
keflex 250mg tablet;6
keflex 500mg tablet;2
keflex 125mg/5ml suspension;0
keflex 250mg/5ml suspension;1
ceporex 1g tablet;0
imipenem + cilastatin;1
primaxin iv 250mg intravenous infusion (pdr for recon);0
primaxin iv 500mg intravenous infusion (pdr for recon);0
primaxin im 500mg intramuscular injection (pdr for recon);0
economycin 250mg capsule;0
economycin 250mg tablet;0
sustamycin 250mg m/r capsule;4
tetrabid-organon 250mg m/r capsule;0
tetrachel 250mg capsule;1
tetrachel 250mg tablet;0
tetracycline+procaine 100mg/40mg intramuscular injection;1
compound tetracycline 300mg tablet;0
ledermycin 150mg capsule;0
doxycycline;544
doxylar 100mg capsule;3
nordox 100mg capsule;0
vibramycin 50mg capsule;2
vibramycin 100mg capsule;2
vibramycin-d 100mg dispersible tablet;2
demix 100 capsule;0
ramysis 100mg capsule;0
demix 50 capsule;0
cefixime;4
suprax 200mg tablet;0
cefodizime;0
timecef 1g injection (pdr for recon);0
cefpodoxime;0
ceftriaxone;0
rocephin 250mg injection (pdr for recon);0
rocephin 1g injection (pdr for recon);1
rocephin 2g injection (pdr for recon);0
tetracycline;144
achromycin 250mg capsule;1
achromycin 250mg tablet;1
achromycin intramuscular injection;0
achromycin 250mg i-v infusion (pdr for recon);0
achromycin 500mg i-v infusion (pdr for recon);0
deteclo tablet;0
lymecycline;325
tetralysal 300 capsule;202
minocycline;213
minocin 50mg tablet;18
minocin 100mg tablet;8
minocin mr 100mg m/r capsule;7
blemix 50 tablet;0
kanamycin;0
kannasyn 1g injection (pdr for recon);0
nivemycin 500mg tablet;0
nivemycin 100mg/5ml elixir;0
mycifradin 500mg tablet;0
netilmicin;0
netillin 15mg/1.5ml injection;0
netillin 50mg/1ml injection;0
netillin 100mg/1ml injection;0
netillin 150mg/1.5ml injection;0
netillin 200mg/2ml injection;0
tobramycin;3
nebcin 20mg/2ml injection;0
nebcin 40mg/1ml injection;0
nebcin 80mg/2ml injection;0
oxytetracycline;1530
berkmycen 250mg tablet;0
imperacin 250mg tablet;0
oxymycin 250mg tablet;1
terramycin 250mg capsule;0
terramycin 250mg tablet;0
oxytetramix 250 tablet;20
mysteclin tablet;0
tetracycline+nystatin 250mg/250ku tablet;0
gentamicin;5
cidomycin 20mg/2ml paediatric injection;0
genticin 80mg/2ml injection ampoule;0
amikacin;0
amikin 500mg/2ml injection;0
amikin 100mg/2ml paediatric injection;0
erythromycin;388
erycen 250mg e/c tablet;0
ilosone forte 250mg/5ml suspension;0
retcin 250mg e/c tablet;0
erythroped a 1g/sachet granules;0
erythroped 250mg/sachet granules;0
clarithromycin;117
klaricid 125mg/5ml paediatric suspension;1
azithromycin;206
zithromax 250mg capsule;8
clindamycin;44
dalacin c 75mg capsule;1
dalacin c 150mg capsule;2
dalacin c 75mg/5ml paediatric suspension;0
dalacin c 300mg/2ml injection;0
dalacin c 600mg/4ml injection;0
erycen 500mg e/c tablet;0
erythroped forte 500mg/sachet granules;0
erymax 250mg e/c granules in capsule;1
erythroped pi 125mg/sachet granules;0
erythrocin 250mg tablet;11
erythrocin 500mg tablet;2
rommix 125 suspension;0
rommix 250 e/c tablet;0
erythromid 250mg e/c tablet;1
erythromid ds 500mg e/c tablet;1
rommix 500 e/c tablet;0
erythroped pi 125mg/5ml suspension;0
erythrocin 1g infusion (pdr for recon);1
erythroped forte 500mg/5ml suspension;0
erythroped a 500mg tablet;7
ilosone 250mg capsule;0
ilosone 500mg tablet;1
